VOIE_ID,VOIE_COMPLET,VOIE_FANTOIR,VOIE_DATECRE,VOIE_REAL,VOIE_OFFICIEL,TENANT,ABOUTISSANT,DENOM_ANNEE,DM_SEANCE,DELIB_NUM,COTE_ARCHIVES,DENOM_ORIGINE,DENOM_N_MOINS_1,DENOM_N_MOINS_1_ANNEE,DENOM_N_MOINS_2,DENOM_N_MOINS_2_ANNEE,LIEN_EXTERNE,OBSERVATIONS,GeoJSON
604,Place Paul Mistral,5520,2000-01-01,oui,oui,JEAN PAIN (BOULEVARD),JEAN PERROT (AVENUE),1932,2019-11-02,,Inconnue,"Paul Mistral, né à La Morte (Isère) le 19 septembre 1872 et mort à La Morte  le 17 août 1932, personnalité politique.",Inconnue,Inconnue,Inconnue,Inconnue,"http://fr.wikipedia.org/wiki/Paul_Mistral_(homme_politique,_1872-1932)",,"{""type"":""LineString"",""coordinates"":[[5.73188935696086,45.1853088153218],[5.73230320193584,45.1851562336917],[5.73259378644567,45.1848086950371],[5.73296119812915,45.1843692640636],[5.733088245268,45.1841920581537],[5.73347481911544,45.1836528556905],[5.73363033340077,45.1834359373906],[5.73364716776952,45.1833490915976]]}"
605,Rue Paul Painlevé,5530,2000-01-01,oui,oui,MARBEUF (RUE),SAVANE (PARC),1956,2019-11-02,,Inconnue,"Paul Painlevé, né à Paris le 5 décembre 1863 et mort à Paris le 29 octobre 1933, mathématicien et homme politique.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Painlev%C3%A9,,"{""type"":""LineString"",""coordinates"":[[5.70623670592418,45.1769580285872],[5.70659250087752,45.1767747340121],[5.70690422868777,45.1766141396123]]}"
606,Rue Paul Strauss,5545,2000-01-01,oui,oui,RHIN ET DANUBE (AVENUE),ALBERT THOMAS (RUE),1949,2019-11-02,,Inconnue,"Paul Strauss, né à Ronchamp (Haute-Saône) le 23 septembre 1852 et mort à Hendaye le 22 février 1942, journaliste et homme politique.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Strauss,,"{""type"":""LineString"",""coordinates"":[[5.70483532149863,45.168748642339],[5.70240615395067,45.1687930541862]]}"
607,Rue Paul Valéry,5560,2000-01-01,oui,oui,STALINGRAD (RUE DE),SANS ISSUE,1959,2019-11-02,,Inconnue,"Ambroise Paul Toussaint Jules Valéry, né à Sète le 30 octobre 1871 et mort à Paris le 20 juillet 1945, écrivain, poète et philosophe.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Val%C3%A9ry,,"{""type"":""LineString"",""coordinates"":[[5.72549605404033,45.1783815510202],[5.72600310380443,45.1783429297435]]}"
608,Place Paul Vallier,5570,2000-01-01,oui,oui,JEAN PAIN (BOULEVARD),STRASBOURG (RUE DE),1944,2019-11-02,,Inconnue,"Paul Gariboldi dit Paul Vallier, né à Ecully en 1919 et mort à Fontaine en 1944, résistant.",Alpes (place des),,Augustins (place des),,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.732493122973,45.1863026451609],[5.73285420047448,45.1865635318113],[5.73339526968188,45.1859013528763]]}"
609,Avenue Paul Verlaine,5580,2000-01-01,oui,oui,LEON BLUM (AVENUE),"LIBERATION ET DU G, DE GAULLE",1930,1930-12-20,7,Inconnue,"Paul Marie Verlaine, né à Metz (Moselle) le 30 mars 1844 et mort à Paris le 8 janvier 1896, poète.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Paul_Verlaine,,"{""type"":""MultiLineString"",""coordinates"":[[[5.7111152515035,45.16442084571],[5.71250147186388,45.1637055364004],[5.71268542812409,45.1634589731022],[5.71579370478484,45.1619286173219]],[[5.70924601116668,45.1652186772321],[5.71244603580825,45.1636114490706],[5.71268542812409,45.1634589731022],[5.71241535252634,45.1635010575114],[5.71104297481395,45.1642053036579]]]}"
610,Rue Pégoud,5590,2000-01-01,oui,oui,MOYRAND (RUE),LOUIS ET AUGUSTE LUMIERE (RUE),1924,2019-11-02,,Inconnue,"Célestin Adolphe Pégoud, né à Montferrat le 13 juin 1889 et mort à Petit-Croix (Territoire de Belfort) le 31 août 1915, aviateur français de la Première Guerre mondiale.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Adolphe_P%C3%A9goud,,"{""type"":""LineString"",""coordinates"":[[5.73881703532311,45.1820254761103],[5.73882319682021,45.1819163154135],[5.73884132897358,45.1817843098128],[5.73885981360468,45.1816343736027],[5.73887165605117,45.1815428950333],[5.73888679009515,45.1814227738252],[5.73889318644298,45.1813688259357],[5.73890197462568,45.1813078741299],[5.73891856105398,45.1811733922101],[5.7389352222353,45.1810489038337],[5.73893568737866,45.1810394348013],[5.73896400047281,45.1808223927408],[5.73898234758553,45.1806592228317],[5.73900717694786,45.1805884365841]]}"
611,Allée de la Pelouse,5598,2000-01-01,oui,oui,GEANTS (PLACE DES),BALADINS (GALERIE DES),1978,1978-06-02,97,Inconnue,Origine imprécise.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.73624896096989,45.1625897183629],[5.73625434231125,45.1618861904581],[5.73649267391511,45.1618836073273],[5.73651329992808,45.1616003414119],[5.73685348073667,45.1615354666753]]}"
612,Rue d'Arménie,598,2000-01-01,oui,oui,FRISE (RUE DE LA),DOYEN LOUIS WEIL (AVENUE),1993,1993-09-17,96,Inconnue,"L’Arménie ou République d'Arménie, en arménien Hayastan,  est un pays situé dans le Petit Caucase.",Inconnue,Inconnue,Inconnue,Inconnue,http://fr.wikipedia.org/wiki/Arm%C3%A9nie,,"{""type"":""LineString"",""coordinates"":[[5.71184415249169,45.1936355888015],[5.71098232294606,45.1934186130821],[5.71122041159978,45.1928960868986],[5.7114507537817,45.1923905521583],[5.71166772017381,45.1919017670644],[5.71186316274417,45.1914614636149]]}"
613,Rue Père Marion,5603,2000-01-01,oui,oui,FELIX POULAT (RUE),CORNEILLE (RUE),1984,1984-09-07,154,Inconnue,Voie ainsi dénommée en hommage à un prêtre qui exerça son Ministère pendant plusieurs années à l'Eglise Saint Louis.,Inconnue,Inconnue,Inconnue,Inconnue,Aucun lien externe trouvé.,,"{""type"":""LineString"",""coordinates"":[[5.72547769067386,45.1899459826167],[5.72537137160219,45.1898450466465],[5.72566008908947,45.1895397170649]]}"
