appellation 	 Nb reponses 	 forme preferee 	 toutes reponses 
ACCESSOIRE	9	Accessoire|https://fr.wikipedia.org/wiki/Accessoire	Accessoire de contrainte;https://fr.wikipedia.org/wiki/Accessoire_de_contrainte|Accessoire de mode;https://fr.wikipedia.org/wiki/Accessoire_de_mode|Accessoire sexuel;https://fr.wikipedia.org/wiki/Accessoire_sexuel|Accessoire de foyer;https://fr.wikipedia.org/wiki/Accessoire_de_foyer|Accessoires de levage;https://fr.wikipedia.org/wiki/Accessoires_de_levage|Accessoire de bureau;https://fr.wikipedia.org/wiki/Accessoire_de_bureau|Accessoire de cotillon;https://fr.wikipedia.org/wiki/Accessoire_de_cotillon|Accessoiriste;https://fr.wikipedia.org/wiki/Accessoiriste
ALBUM	10		Album (musique);https://fr.wikipedia.org/wiki/Album_(musique)|Albums des jeunes architectes et des paysagistes;https://fr.wikipedia.org/wiki/Albums_des_jeunes_architectes_et_des_paysagistes|Albumine;https://fr.wikipedia.org/wiki/Albumine|Album-concept;https://fr.wikipedia.org/wiki/Album-concept|Album live;https://fr.wikipedia.org/wiki/Album_live|Album de finissants;https://fr.wikipedia.org/wiki/Album_de_finissants|Albums pirates des Rolling Stones;https://fr.wikipedia.org/wiki/Albums_pirates_des_Rolling_Stones|Albums quebecois les plus vendus;https://fr.wikipedia.org/wiki/Albums_qu%C3%A9b%C3%A9cois_les_plus_vendus|Albums de reprises d'Iron Maiden;https://fr.wikipedia.org/wiki/Albums_de_reprises_d%27Iron_Maiden|Album studio;https://fr.wikipedia.org/wiki/Album_studio
ALCOVE	10	Alcove|https://fr.wikipedia.org/wiki/Alcove|Alcove|https://fr.wikipedia.org/wiki/Alc%C3%B4ve	Alcover;https://fr.wikipedia.org/wiki/Alcover|Alcover (homonymie);https://fr.wikipedia.org/wiki/Alcover_(homonymie)|Leur alcove;https://fr.wikipedia.org/wiki/Leur_alc%C3%B4ve|Alcobendas;https://fr.wikipedia.org/wiki/Alcobendas|Alcovasaurus;https://fr.wikipedia.org/wiki/Alcovasaurus|Alcossebre;https://fr.wikipedia.org/wiki/Alcossebre|Alcoleja;https://fr.wikipedia.org/wiki/Alcoleja|Alcocer de Planes;https://fr.wikipedia.org/wiki/Alcocer_de_Planes
APPLIQUE	4		Appliquer ou expliquer;https://fr.wikipedia.org/wiki/Appliquer_ou_expliquer|Applique murale;https://fr.wikipedia.org/wiki/Applique_murale|Appliquette;https://fr.wikipedia.org/wiki/Appliquette|Applique inverse;https://fr.wikipedia.org/wiki/Appliqu%C3%A9_invers%C3%A9
AQUARELLE	5	Aquarelle|https://fr.wikipedia.org/wiki/Aquarelle	Aquarelle.com Group;https://fr.wikipedia.org/wiki/Aquarelle.com_Group|Aquarelle (film);https://fr.wikipedia.org/wiki/Aquarelle_(film)|Aquarelle et jeunes filles;https://fr.wikipedia.org/wiki/Aquarelle_et_jeunes_filles|Aquarelles d'Hitler;https://fr.wikipedia.org/wiki/Aquarelles_d%27Hitler
ARGENTERIE	1	Argenterie|https://fr.wikipedia.org/wiki/Argenterie	
ARMOIRE	10	Armoire|https://fr.wikipedia.org/wiki/Armoire	Armoire de fer;https://fr.wikipedia.org/wiki/Armoire_de_fer|Armoire aux perroquets (Louvre);https://fr.wikipedia.org/wiki/Armoire_aux_perroquets_(Louvre)|Armoire de fer (Archives nationales);https://fr.wikipedia.org/wiki/Armoire_de_fer_(Archives_nationales)|Armoire (mobilier liturgique);https://fr.wikipedia.org/wiki/Armoire_(mobilier_liturgique)|Armoirerie;https://fr.wikipedia.org/wiki/Armoirerie|Armoire de Conde-Sainte-Libiaire;https://fr.wikipedia.org/wiki/Armoire_de_Cond%C3%A9-Sainte-Libiaire|Armoire a disparaitre;https://fr.wikipedia.org/wiki/Armoire_%C3%A0_dispara%C3%AEtre|Armoire seche-linge;https://fr.wikipedia.org/wiki/Armoire_s%C3%A8che-linge|Armoire a vin;https://fr.wikipedia.org/wiki/Armoire_%C3%A0_vin
ASSIETTE	10	Assiette|https://fr.wikipedia.org/wiki/Assiette	Assiette (vaisselle);https://fr.wikipedia.org/wiki/Assiette_(vaisselle)|Assiettes de David;https://fr.wikipedia.org/wiki/Assiettes_de_David|Assiette longitudinale;https://fr.wikipedia.org/wiki/Assiette_longitudinale|Assiette fiscale;https://fr.wikipedia.org/wiki/Assiette_fiscale|Assiette anglaise;https://fr.wikipedia.org/wiki/Assiette_anglaise|Assiette (equitation);https://fr.wikipedia.org/wiki/Assiette_(%C3%A9quitation)|Assiette d'Hartog;https://fr.wikipedia.org/wiki/Assiette_d%27Hartog|Assiette valaisanne;https://fr.wikipedia.org/wiki/Assiette_valaisanne|Assiette tournante;https://fr.wikipedia.org/wiki/Assiette_tournante
ASSIETTE CREUSE	0		
ASSIETTE PLATE	0		
ATHENIENNE	2	Athenienne|https://fr.wikipedia.org/wiki/Ath%C3%A9nienne	Athenienne de Napoleon Ier;https://fr.wikipedia.org/wiki/Ath%C3%A9nienne_de_Napol%C3%A9on_Ier
ATLAS	10	Atlas|https://fr.wikipedia.org/wiki/Atlas	Atlas V;https://fr.wikipedia.org/wiki/Atlas_V|Atlas (massif);https://fr.wikipedia.org/wiki/Atlas_(massif)|Atlas (mythologie);https://fr.wikipedia.org/wiki/Atlas_(mythologie)|Atlas (lanceur);https://fr.wikipedia.org/wiki/Atlas_(lanceur)|Atlas international des nuages;https://fr.wikipedia.org/wiki/Atlas_international_des_nuages|Atlas de la biodiversite dans les communes;https://fr.wikipedia.org/wiki/Atlas_de_la_biodiversit%C3%A9_dans_les_communes|Atlas de paysages;https://fr.wikipedia.org/wiki/Atlas_de_paysages|Atlas de Trudaine;https://fr.wikipedia.org/wiki/Atlas_de_Trudaine|Atlas maritime;https://fr.wikipedia.org/wiki/Atlas_maritime
BAHUT	10	Bahut|https://fr.wikipedia.org/wiki/Bahut	Bahut (coffre);https://fr.wikipedia.org/wiki/Bahut_(coffre)|Bahutage;https://fr.wikipedia.org/wiki/Bahutage|Bahutu;https://fr.wikipedia.org/wiki/Bahutu|Bahut (cuisine);https://fr.wikipedia.org/wiki/Bahut_(cuisine)|Le bahut va craquer;https://fr.wikipedia.org/wiki/Le_bahut_va_craquer|Le Bahut des tordus (film);https://fr.wikipedia.org/wiki/Le_Bahut_des_tordus_(film)|Le Bahut (serie televisee);https://fr.wikipedia.org/wiki/Le_Bahut_(s%C3%A9rie_t%C3%A9l%C3%A9vis%C3%A9e)|Le Bahut des tordus;https://fr.wikipedia.org/wiki/Le_Bahut_des_tordus|Bahus-Soubiran;https://fr.wikipedia.org/wiki/Bahus-Soubiran
BALAI D'ATRE	0		
BALDAQUIN	3	Baldaquin|https://fr.wikipedia.org/wiki/Baldaquin	Baldaquin de Saint-Pierre;https://fr.wikipedia.org/wiki/Baldaquin_de_Saint-Pierre|Baldaquin de Grandpieu;https://fr.wikipedia.org/wiki/Baldaquin_de_Grandpieu
